Product ID,Product Name,Product Slug,Product SKU,Short Description,Long Description,Base Model,Category,Category ID,Tags (;-separated),Product Images (;-separated),Status,Is Active,Variation Index,Condition,Color,Storage,Capacity,Interface,Variant Name,Price (GBP),Sale Price (GBP),Stock Quantity,Stock Status,Variation SKU,Variation Images (;-separated),Weight (g),Lead Time Min (days),Lead Time Max (days),Lead Time Display,Length (cm),Width (cm),Height (cm),Attributes (;-separated),Created At,Updated At
68aa920fda54cf773f580f98,GrapheneOS Pixel 8,pixel-8,PX-975288-JWD7,Pixel 8 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 8 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 8. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 8,,,,/images/placeholder.png,active,true,1,good,Rose,128GB,,,,395,,10,in_stock,PX-975288-JWD7-B-RO-128-1,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 8,2025-08-24T04:16:15.289Z,2025-08-24T04:16:15.289Z
68aa920fda54cf773f580f98,GrapheneOS Pixel 8,pixel-8,PX-975288-JWD7,Pixel 8 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 8 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 8. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 8,,,,/images/placeholder.png,active,true,2,good,Obsidian,128GB,,,,410,,10,in_stock,PX-975288-JWD7-B-OB-128-2,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 8,2025-08-24T04:16:15.289Z,2025-08-24T04:16:15.289Z
68aa920fda54cf773f580f8e,GrapheneOS Pixel 7 Pro,pixel-7-pro,PX-975209-WLP9,Pixel 7 Pro with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 7 Pro with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 7 Pro. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 7 Pro,,,,/images/placeholder.png,active,true,0,fair,(12GB+128GB) Obsidian,128GB,,,,325,,10,in_stock,PX-975209-WLP9-C-(1-128-0,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7 Pro,2025-08-24T04:16:15.211Z,2025-08-24T04:16:15.211Z
68aa920fda54cf773f580f8e,GrapheneOS Pixel 7 Pro,pixel-7-pro,PX-975209-WLP9,Pixel 7 Pro with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 7 Pro with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 7 Pro. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 7 Pro,,,,/images/placeholder.png,active,true,1,good,(12GB+128GB) Snow,128GB,,,,370,,10,in_stock,PX-975209-WLP9-B-(1-128-1,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7 Pro,2025-08-24T04:16:15.211Z,2025-08-24T04:16:15.211Z
68aa920fda54cf773f580f8e,GrapheneOS Pixel 7 Pro,pixel-7-pro,PX-975209-WLP9,Pixel 7 Pro with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 7 Pro with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 7 Pro. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 7 Pro,,,,/images/placeholder.png,active,true,2,good,(12GB+128GB) Hazel,128GB,,,,375,,10,in_stock,PX-975209-WLP9-B-(1-128-2,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7 Pro,2025-08-24T04:16:15.211Z,2025-08-24T04:16:15.211Z
68aa920fda54cf773f580f8e,GrapheneOS Pixel 7 Pro,pixel-7-pro,PX-975209-WLP9,Pixel 7 Pro with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 7 Pro with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 7 Pro. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 7 Pro,,,,/images/placeholder.png,active,true,3,good,(12GB+128GB) Obsidian,128GB,,,,380,,10,in_stock,PX-975209-WLP9-B-(1-128-3,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7 Pro,2025-08-24T04:16:15.211Z,2025-08-24T04:16:15.211Z
68aa920fda54cf773f580f86,GrapheneOS Pixel 6 Pro,pixel-6-pro,PX-975153-ICS2,Pixel 6 Pro with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 6 Pro with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 6 Pro. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 6 Pro,,,,/images/placeholder.png,active,true,0,good,Stormy Black,128GB,,,,310,,10,in_stock,PX-975153-ICS2-B-ST-128-0,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 6 Pro,2025-08-24T04:16:15.154Z,2025-08-24T04:16:15.154Z
68aa920fda54cf773f580f7b,GrapheneOS Pixel 7,pixel-7,PX-975093-NATC,Pixel 7 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 7 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 7. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 7,,,,/images/placeholder.png,active,true,0,fair,Obsidian,128GB,,,,285,,10,in_stock,PX-975093-NATC-C-OB-128-0,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7,2025-08-24T04:16:15.095Z,2025-08-24T04:16:15.095Z
68aa920fda54cf773f580f7b,GrapheneOS Pixel 7,pixel-7,PX-975093-NATC,Pixel 7 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 7 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 7. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 7,,,,/images/placeholder.png,active,true,1,good,Lemongrass,128GB,,,,315,,10,in_stock,PX-975093-NATC-B-LE-128-1,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7,2025-08-24T04:16:15.095Z,2025-08-24T04:16:15.095Z
68aa920fda54cf773f580f7b,GrapheneOS Pixel 7,pixel-7,PX-975093-NATC,Pixel 7 with GrapheneOS Pre-installed - Privacy-Focused Android Alternative,"Pixel 7 with GrapheneOS Pre-installed. This Privacy-Focused Android Alternative 
             features hardware identical to Google Pixel 7. Custom ROM - GrapheneOS provides enhanced privacy and security while
             maintaining full functionality.",Pixel 7,,,,/images/placeholder.png,active,true,2,good,Obsidian,128GB,,,,320,,10,in_stock,PX-975093-NATC-B-OB-128-2,/images/placeholder.png,100,5,7,5-7 working days,10,10,5,Storage:128GB;Model:Pixel 7,2025-08-24T04:16:15.095Z,2025-08-24T04:16:15.095Z
